Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,33044.8444951246,33905.2629442993,34852.7517360261,36099.0229106261,37475.9787592588,38494.8866763373,38779.6000002663,39872.1475260579,40642.5622844033,41905.8496649704,42704.4424723347,43286.7235365751,44109.6693742979,44777.2737194117,44684.4014940539,44965.3933643214,45405.3653652747,46360.6071243229,46744.6238819012,47240.2744640204,47567.6806608932,48109.2027153453,48400.2457875228,49052.8179535889,49379.093333787,48747.8517145133,49774.3407019167
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,40425.3937190819,41319.3749974645,42136.6622802741,43597.8900710725,45060.6187543953,46469.8610601036,46878.9162398602,47419.2784117541,47633.1140009916,48633.2718157639,49387.0278641202,50840.6944621561,52565.0739687956,53166.0542015286,51030.7246778186,51843.4283275453,53179.1474647432,53297.4447850919,52997.7538166712,52932.9001116518,52873.8586545571,53345.7415259818,54172.9867888254,55217.2865300768,55806.4382499366,51988.4158297933,54121.1455420496
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2976.99522138353,2985.3371754857,3128.1641351317,3408.4753810397,3628.71688349932,3998.52048313078,4360.45944142426,4736.56437632615,5180.68645770222,5610.76313748494,7106.59790726031,9453.94185980601,11684.1915431474,12672.3762154835,13565.8550922117,14082.2381481679,13913.8366943419,14027.468790254,14651.693970776,14867.9437345406,14852.6117080302,14232.1926180142,14121.4069355591,14209.5931685619,14442.0408668016,13726.7696576885,14431.6610462293
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,32411.2571820049,33184.2765371358,34867.0113022831,32744.9244704254,36179.8870785966,37131.3030798323,37572.8937483583,38083.5331720236,37103.3968571009,36929.1737100242,37665.3876989643,38081.2464841151,38091.9053065726,36680.8269382529,34646.5907408992,34688.093402557,34468.8862494456,35150.5629284392,33826.3415108954,34143.0306191253,34170.2323195734,33596.636223659,34357.2706570791,34735.1255180194,35161.8304747379,26659.2380334008,30210.1612641327
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,43369.1535690876,43737.1881449762,43716.0207493882,44458.4383668438,45053.7461151746,46154.0295372007,46084.9272072473,46478.2054226708,47504.5573094864,47455.239988126,46821.0246254023,46303.4870146222,46792.1742553463,46588.6421016907,44972.7455841236,45600.0662441489,46564.7108841565,47793.5309713178,48915.5299366185,49117.9884481019,48453.7258486635,48486.3027470537,48929.4470119951,48937.6603623739,49768.9762142136,47847.8381718287,49387.4183377655
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1964.06112590842,2017.21352652899,2070.43744624471,2137.15004349644,2194.52647626906,2267.07534755879,2337.36458346569,2382.28147136915,2451.99023241347,2537.95071423142,2663.09625700318,2806.59269062211,2973.28132489974,3124.22679727975,3253.0913365599,3395.36478736678,3571.0586470603,3756.93193253282,3932.70833031603,4119.42463946452,4337.38590209077,4589.09353174608,4830.7760826813,5124.49875458782,5467.20794773827,5591.37398917821,5911.01299624227
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,13225.7543853946,13726.0323199655,14353.1201186362,14864.6660584937,14884.601843092,15517.9408347638,15109.7633490269,15167.1267869806,15436.6024072213,15595.8529892111,16154.261200613,17081.6328435397,17371.072523883,17405.8935490311,16462.7067411057,16019.5074254818,15864.5723226189,15755.2669650598,15489.7611847758,15441.2197612068,15789.4512179828,16156.517559289,16198.9621604366,16003.8574255361,15954.802664829,13805.7775410846,13754.8024231781
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,5805.36315610077,5988.03970960276,6698.45787856987,7293.90821566164,7575.91832595163,8053.17363808324,8477.08401148315,8961.64111959338,9660.19368845286,10839.9562728165,11940.1865961058,13214.87158024,14417.3535308989,15942.8976797373,16014.1155277101,17300.7036830881,18274.0207167069,18611.4542129387,18805.4308685766,19119.3461515636,18362.7455862583,17883.1264992839,18356.1007741722,18974.6998134505,19279.209247881,19225.573834783,19751.2039053496
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,37784.149887365,38208.7186734905,39562.3729801955,40252.4689057051,41583.0973922951,43024.1399101042,43347.8892099274,43890.5981100134,44160.9114292454,45540.4669120107,46342.1866093314,47212.577772728,48590.4005353331,48423.515483961,47064.7900198376,47972.558838523,48154.8711461252,48210.9246578014,48204.5856992867,48748.6205926039,49456.3985817783,49829.9273887741,50442.2705419624,51113.4817384021,51977.1853280951,48978.9342485189,51739.537932581
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7675.21751609267,7521.86418171508,7530.27200682617,7554.92572506596,7954.44493922975,8702.08265110585,8857.37013835297,9023.40100717108,9566.06022706895,9710.01405705731,9631.59161051857,9781.77671133139,9815.05474768846,9397.15189743875,9101.54923461174,8988.86513638692,8776.86331618966,8912.10575375588,9109.57214659117,9276.31779285874,9387.91454228407,9208.11394344737,8873.7540251936,8798.53857325264,9028.55148483032,7703.11804104352,8762.6226834013
